year,ID,recruit,Count of Year,sum_n of eggs,mean_n of eggs,SD_ n of eggs,mean_length,SD_length,mean_width,SD_width,mass,energy
1994,1994G036,First time,4,335,111.6667,21.22106,88.75,0.5,80,0,82.063,109651.1161
1994,1994G037,First time,1,137,137,,109,,80,,131.0356,134527.15
1994,1994G038,First time,4,447,111.75,2.217356,103.75,0.957427,80,4.760952,118.339,109732.9125
1994,1994G040,First time,4,430,107.5,8.062258,102.75,0.957427,80,0.957427,115.9206,105559.625
1994,1994G041,First time,3,333,111,18.3303,109.6667,0.57735,80,1.527525,132.6479473,108996.45
1994,1994G042,First time,1,110,110,,100,,80,,109.27,108014.5
1994,1994G043,First time,6,472,78.66667,18.61899,97,0.894427,80,0.547723,102.0148,77246.73661
1994,1994G047,First time,5,444,88.8,9.80816,94.4,1.516575,80,1.140175,95.72696,87197.16
1994,1994G048,First time,4,431,107.75,20.27108,103.5,1,80,1.258306,117.7344,105805.1125
1994,1994G049,First time,9,598,85.42857,17.93374,101.1111,0.781736,80,1.130388,111.9570842,83886.58431
1994,1994G050,First time,3,318,106,11.26943,100,1,80,2.516611,109.27,104086.7
1994,1994G051,First time,5,525,105,7.81025,96.9,1.884144,80,1.643168,101.77296,103104.75
1994,1994G052,First time,1,49,49,,101,,80,,111.6884,48115.55
1994,1994G053,First time,2,218,109,5.656854,100,0,80,0.707107,109.27,107032.55
1994,1994G054,First time,1,85,85,,99,,80,,106.8516,83465.75
1994,1994G056,First time,3,250,83.33333,57.76966,98,1,80,1.154701,104.4332,81829.16339
1994,1994G057,First time,1,110,110,,94,,80,,94.7596,108014.5
1994,1994G058,First time,2,163,81.5,3.535534,100.5,0.707107,80,1.414214,110.4792,80028.925
1994,1994G060,First time,5,509,101.8,33.62588,104.6,0.894427,80,1.581139,120.39464,99962.51
1994,1994G061,First time,3,267,89,7.549834,94.33333,0.57735,80,0,95.56572527,87393.55
1994,1994G063,First time,3,227,113.5,6.363961,110.6667,1.154701,80,0.57735,135.0663473,111451.325
1995,1993G022,Recurring,1,91,91,,101,,80,,111.6884,89357.45
1995,1993G050,First time,9,911,101.2222,18.74018,102.1111,0.600925,80,1.322876,114.3754842,99395.13929
1995,1993G116,Recurring,8,938,117.25,10.30603,100.25,1.035098,80,1.035098,109.8746,115133.6375
1995,1995G001,First time,6,627,104.5,8.312641,99,1.414214,80,1.602082,106.8516,102613.775
1995,1995G002,First time,3,297,99,16.8226,99.66667,0.57735,80,0.57735,108.4638747,97213.05
1995,1995G003,First time,3,294,98,5.196152,96.33333,1.154701,80,1.154701,100.4025253,96231.1
1995,1995G004,First time,4,309,103,25.05993,100,1.154701,80,1.5,109.27,101140.85
1995,1995G005,First time,7,530,88.33333,6.28225,94.28571,0.48795,80,0.786796,95.45056106,86738.91339
1995,1995G006,First time,8,717,89.625,11.91563,87.75,1.982062,80,3.482097,79.6446,88007.26875
1995,1995G007,First time,4,366,91.5,8.582929,99.5,0.57735,80,1.732051,108.0608,89848.425
1995,1995G008,First time,4,329,82.25,24.85122,101.5,0.57735,80,1.707825,112.8976,80765.3875
1995,1995G009,First time,3,308,102.6667,7.505553,108.3333,0.57735,80,1,129.4232527,100813.5661
1995,1995G010,First time,1,93,93,,101,,80,,111.6884,91321.35
1995,1995G011,First time,4,317,105.6667,16.07275,102.25,0.5,80,1.414214,114.7114,103759.4161
1995,1995G012,First time,4,445,111.25,8.616844,105.25,1.258306,80,2.061553,121.9666,109241.9375
1995,1995G013,First time,3,329,109.6667,13.31666,105.3333,0.57735,80,0.57735,122.1680527,107687.2161
1995,1995G014,First time,7,604,86.28571,17.63249,100,0.816497,80,2.309401,109.27,84728.25293
1995,1995G015,First time,2,192,96,2.828427,101.5,0.707107,80,0.707107,112.8976,94267.2
1995,1995G016,First time,1,93,93,,113,,80,,140.7092,91321.35
1995,1995G017,First time,3,265,88.33333,4.725816,92,1,80,1.527525,89.9228,86738.91339
1995,1995G018,First time,3,354,118,11.26943,94.66667,0.57735,80,0.57735,96.37187473,115870.1
1995,1995G019,First time,2,216,108,2.828427,98,1.414214,80,1.414214,104.4332,106050.6
1995,1995G020,First time,2,171,85.5,7.778175,92,0,80,0,89.9228,83956.725
